Age,Gender,Marital_Status,Occupation,Monthly_Income,Educational_Qualifications,Family_size,Latitude,Longitude,Pin_code,Medium,Meal,Preference,Ease_and_convenient,Time_saving,More_Offers_and_Discount,Health_Concern,Poor_Hygiene,Bad_past_experience,Unaffordable,Order_Time,Maximum_wait_time,Buy_again
20,Female,Single,Student,No Income,Post Graduate,4,12.9766,77.5993,560001,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Weekend (Sat & Sun),30 minutes,Yes
24,Female,Single,Student,Below Rs.10000,Graduate,3,12.977,77.5773,560009,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Anytime (Mon-Sun),30 minutes,Yes
22,Male,Single,Student,Below Rs.10000,Post Graduate,3,12.9551,77.6593,560017,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Neutral,Neutral,Agree,Agree,Agree,Anytime (Mon-Sun),45 minutes,Yes
22,Female,Single,Student,No Income,Graduate,6,12.9473,77.5616,560019,Food delivery apps,Snacks,Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly agree,Strongly agree,Agree,Disagree,Neutral,Anytime (Mon-Sun),30 minutes,Yes
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,12.985,77.5533,560010,Walk-in,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Weekend (Sat & Sun),30 minutes,Yes
27,Female,Married,Employee,More than 50000,Post Graduate,2,12.9299,77.6848,560103,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Anytime (Mon-Sun),45 minutes,Yes
22,Male,Single,Student,No Income,Graduate,3,12.977,77.5773,560009,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly disagree,Anytime (Mon-Sun),45 minutes,Yes
24,Female,Single,Student,No Income,Post Graduate,3,12.9828,77.6131,560042,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Weekend (Sat & Sun),45 minutes,Yes
23,Female,Single,Student,No Income,Post Graduate,2,12.9766,77.5993,560001,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Anytime (Mon-Sun),30 minutes,Yes
23,Female,Single,Student,No Income,Post Graduate,4,12.9854,77.7081,560048,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Weekend (Sat & Sun),45 minutes,Yes
22,Female,Single,Student,No Income,Post Graduate,5,12.985,77.5533,560010,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Anytime (Mon-Sun),45 minutes,Yes
23,Male,Single,Student,Below Rs.10000,Post Graduate,2,12.977,77.5773,560009,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Weekend (Sat & Sun),45 minutes,Yes
23,Male,Single,Student,No Income,Post Graduate,5,12.8988,77.5764,560078,Walk-in,Snacks,Non Veg foods (Lunch / Dinner),Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Weekend (Sat & Sun),30 minutes,Yes
21,Male,Single,Student,No Income,Graduate,4,12.977,77.5773,560009,Walk-in,Dinner,Non Veg foods (Lunch / Dinner),Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Weekend (Sat & Sun),30 minutes,Yes
23,Female,Single,Self Employeed,10001 to 25000,Post Graduate,5,12.9438,77.5738,560004,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Anytime (Mon-Sun),45 minutes,Yes
24,Female,Single,Student,No Income,Post Graduate,6,12.8893,77.6399,560068,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,Agree,Neutral,Strongly agree,Disagree,Disagree,Disagree,Anytime (Mon-Sun),30 minutes,Yes
28,Female,Single,Employee,25001 to 50000,Post Graduate,2,12.9783,77.6408,560038,Walk-in,Dinner,Veg foods (Breakfast / Lunch / Dinner),Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Anytime (Mon-Sun),60 minutes,Yes
23,Female,Single,Student,No Income,Graduate,3,12.982,77.6256,560008,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Disagree,Neutral,Strongly agree,Neutral,Strongly disagree,Anytime (Mon-Sun),45 minutes,Yes
25,Male,Single,Student,No Income,Graduate,4,12.8988,77.5764,560078,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly disagree,Anytime (Mon-Sun),45 minutes,Yes
21,Female,Single,Student,Below Rs.10000,Post Graduate,1,12.9783,77.6408,560038,Food delivery apps,Dinner,Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Anytime (Mon-Sun),45 minutes,Yes
24,Male,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Weekend (Sat & Sun),More than 60 minutes,Yes
22,Male,Single,Student,No Income,Post Graduate,4,13.0298,77.6047,560032,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Disagree,Anytime (Mon-Sun),45 minutes,Yes
22,Female,Single,Student,No Income,Graduate,4,12.9983,77.6409,560033,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Weekdays (Mon-Fri),45 minutes,Yes
23,Male,Single,Student,No Income,Graduate,4,12.9925,77.5633,560021,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Weekdays (Mon-Fri),30 minutes,Yes
21,Male,Single,Student,Below Rs.10000,Post Graduate,3,12.9306,77.5434,560085,Walk-in,Breakfast,Non Veg foods (Lunch / Dinner),Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Anytime (Mon-Sun),45 minutes,Yes
25,Male,Single,Student,No Income,Post Graduate,3,12.982,77.6256,560008,Walk-in,Dinner,Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Anytime (Mon-Sun),30 minutes,Yes
22,Female,Single,Student,No Income,Post Graduate,5,12.9353,77.5585,560050,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Anytime (Mon-Sun),45 minutes,Yes
22,Male,Single,Student,No Income,Post Graduate,3,12.9155,77.5135,560098,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),Agree,Agree,Disagree,Strongly agree,Agree,Neutral,Neutral,Anytime (Mon-Sun),45 minutes,Yes
23,Female,Single,Employee,10001 to 25000,Graduate,3,12.9854,77.7081,560048,Walk-in,Snacks,Bakery items (snacks),Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Weekend (Sat & Sun),30 minutes,Yes
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,13.0019,77.5713,560003,Walk-in,Snacks,Veg foods (Breakfast / Lunch / Dinner),Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Neutral,Neutral,Weekend (Sat & Sun),15 minutes,Yes
22,Female,Single,Employee,10001 to 25000,Graduate,5,12.9698,77.75,560066,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Weekend (Sat & Sun),45 minutes,Yes
22,Male,Single,Student,No Income,Post Graduate,4,12.9783,77.6408,560038,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Anytime (Mon-Sun),30 minutes,Yes
25,Male,Married,Employee,More than 50000,Ph.D,4,12.9261,77.6221,560034,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Anytime (Mon-Sun),30 minutes,Yes
22,Female,Single,Student,10001 to 25000,Post Graduate,5,12.985,77.5533,560010,Walk-in,Dinner,Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Weekend (Sat & Sun),15 minutes,Yes
22,Female,Single,Student,No Income,Post Graduate,2,12.9119,77.6446,560102,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Agree,Weekend (Sat & Sun),15 minutes,Yes
25,Male,Single,Student,10001 to 25000,Post Graduate,3,12.9306,77.5434,560085,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Neutral,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Anytime (Mon-Sun),45 minutes,Yes
25,Male,Single,Student,No Income,Post Graduate,5,12.977,77.5773,560009,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Strongly agree,Anytime (Mon-Sun),45 minutes,No
32,Female,Prefer not to say,House wife,No Income,Graduate,5,12.982,77.6256,560008,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Weekdays (Mon-Fri),60 minutes,Yes
23,Female,Single,Student,No Income,Post Graduate,3,12.9438,77.5738,560004,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Strongly agree,Neutral,Agree,Disagree,Weekend (Sat & Sun),45 minutes,Yes
23,Female,Single,Student,No Income,Post Graduate,4,12.8988,77.5764,560078,Walk-in,Breakfast,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Weekend (Sat & Sun),45 minutes,Yes
30,Male,Married,Self Employeed,More than 50000,Uneducated,4,12.9662,77.6068,560025,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Weekdays (Mon-Fri),More than 60 minutes,Yes
23,Male,Single,Student,No Income,Graduate,3,12.9565,77.5484,560026,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Weekend (Sat & Sun),30 minutes,Yes
23,Male,Single,Student,No Income,Post Graduate,4,12.9925,77.5633,560021,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),Agree,Disagree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Anytime (Mon-Sun),30 minutes,Yes
22,Female,Single,Student,No Income,Post Graduate,5,12.985,77.5533,560010,Walk-in,Snacks,Non Veg foods (Lunch / Dinner),Agree,Agree,Disagree,Strongly agree,Agree,Neutral,Agree,Anytime (Mon-Sun),30 minutes,Yes
22,Male,Single,Student,No Income,Graduate,5,12.985,77.5533,560010,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Anytime (Mon-Sun),30 minutes,Yes
27,Female,Married,Self Employeed,10001 to 25000,Post Graduate,2,12.9261,77.6221,560034,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Anytime (Mon-Sun),30 minutes,Yes
24,Female,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Anytime (Mon-Sun),45 minutes,Yes
23,Male,Single,Student,No Income,Post Graduate,2,12.977,77.5773,560009,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Weekend (Sat & Sun),30 minutes,Yes
23,Female,Single,Student,No Income,Graduate,3,12.982,77.6256,560008,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Disagree,Neutral,Strongly agree,Neutral,Strongly disagree,Anytime (Mon-Sun),45 minutes,Yes
22,Female,Single,Student,10001 to 25000,Post Graduate,5,12.985,77.5533,560010,Walk-in,Dinner,Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Weekend (Sat & Sun),15 minutes,Yes
23,Female,Single,Student,No Income,Graduate,5,13.0206,77.6479,560043,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Weekdays (Mon-Fri),45 minutes,Yes
23,Female,Single,Student,No Income,Post Graduate,2,12.977,77.5773,560009,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Anytime (Mon-Sun),45 minutes,Yes
24,Male,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Weekend (Sat & Sun),30 minutes,Yes
25,Male,Single,Student,No Income,Post Graduate,2,12.9635,77.5821,560002,Walk-in,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Anytime (Mon-Sun),30 minutes,Yes
22,Male,Single,Student,No Income,Post Graduate,3,12.9306,77.5434,560085,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Weekend (Sat & Sun),45 minutes,Yes
28,Female,Married,Student,No Income,Graduate,2,13.0067,77.545,560086,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Anytime (Mon-Sun),30 minutes,Yes
22,Female,Single,Student,No Income,Post Graduate,1,12.8845,77.6036,560076,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Anytime (Mon-Sun),60 minutes,Yes
24,Female,Single,Student,No Income,Graduate,3,12.977,77.5773,560009,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Weekend (Sat & Sun),60 minutes,Yes
31,Male,Married,Employee,More than 50000,Ph.D,5,12.9119,77.6446,560102,Walk-in,Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,Agree,Disagree,Agree,Neutral,Disagree,Strongly disagree,Weekend (Sat & Sun),45 minutes,Yes
25,Male,Single,Student,No Income,Post Graduate,4,13.0067,77.545,560086,Food delivery apps,Snacks,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Disagree,Agree,Anytime (Mon-Sun),30 minutes,Yes
23,Male,Single,Student,No Income,Post Graduate,5,12.8988,77.5764,560078,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Weekend (Sat & Sun),60 minutes,Yes
22,Male,Single,Student,No Income,Post Graduate,3,12.8845,77.6036,560076,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Anytime (Mon-Sun),30 minutes,Yes
23,Male,Single,Student,25001 to 50000,Post Graduate,1,13.0158,77.539,560096,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Neutral,Weekend (Sat & Sun),60 minutes,Yes
23,Male,Single,Student,No Income,Graduate,4,12.9343,77.6044,560029,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Weekend (Sat & Sun),30 minutes,Yes
23,Female,Single,Student,No Income,Post Graduate,2,13.0019,77.5713,560003,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Anytime (Mon-Sun),45 minutes,Yes
25,Male,Single,Student,No Income,Post Graduate,6,13.0012,77.5995,560046,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Weekend (Sat & Sun),60 minutes,Yes
24,Male,Single,Employee,10001 to 25000,Graduate,4,12.9442,77.6076,560030,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Neutral,Neutral,Disagree,Neutral,Disagree,Strongly disagree,Neutral,Anytime (Mon-Sun),30 minutes,Yes
23,Female,Single,Student,No Income,Post Graduate,4,13.0487,77.5923,560024,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Disagree,Weekend (Sat & Sun),45 minutes,Yes
23,Female,Single,Student,No Income,Post Graduate,4,13.0487,77.5923,560024,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Disagree,Weekend (Sat & Sun),45 minutes,Yes
24,Female,Married,Employee,More than 50000,Ph.D,4,12.9438,77.5738,560004,Food delivery apps,Dinner,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Weekend (Sat & Sun),30 minutes,Yes
22,Male,Single,Student,No Income,Graduate,4,12.9889,77.5741,560020,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Disagree,Strongly disagree,Disagree,Neutral,Neutral,Agree,Strongly agree,Anytime (Mon-Sun),30 minutes,Yes
24,Female,Single,Student,10001 to 25000,Post Graduate,3,12.9335,77.5691,560028,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Agree,Neutral,Strongly agree,Agree,Neutral,Disagree,Disagree,Anytime (Mon-Sun),45 minutes,No
25,Female,Single,Student,No Income,Post Graduate,3,12.9766,77.5993,560001,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Agree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Weekend (Sat & Sun),45 minutes,Yes
23,Male,Single,Student,No Income,Post Graduate,2,12.8845,77.6036,560076,Food delivery apps,Breakfast,Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Anytime (Mon-Sun),30 minutes,Yes
26,Male,Single,Student,No Income,Post Graduate,4,13.0019,77.5713,560003,Walk-in,Dinner,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Anytime (Mon-Sun),30 minutes,Yes
24,Female,Single,Student,25001 to 50000,Post Graduate,3,13.102,77.5864,560064,Walk-in,Dinner,Non Veg foods (Lunch / Dinner),Agree,Strongly agree,Neutral,Strongly agree,Agree,Disagree,Agree,Anytime (Mon-Sun),45 minutes,Yes
26,Male,Single,Student,No Income,Post Graduate,4,12.9048,77.6821,560036,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Anytime (Mon-Sun),45 minutes,Yes
21,Male,Single,Student,No Income,Graduate,4,12.977,77.5773,560009,Walk-in,Dinner,Non Veg foods (Lunch / Dinner),Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Weekend (Sat & Sun),30 minutes,Yes
22,Female,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Weekend (Sat & Sun),30 minutes,Yes
24,Male,Single,Student,No Income,Post Graduate,5,12.9337,77.59,560011,Food delivery apps,Snacks,Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Neutral,Agree,Agree,Strongly disagree,Anytime (Mon-Sun),More than 60 minutes,Yes
24,Male,Single,Student,10001 to 25000,Post Graduate,4,12.9037,77.5376,560061,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Anytime (Mon-Sun),45 minutes,Yes
23,Female,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Neutral,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Weekend (Sat & Sun),45 minutes,Yes
23,Male,Single,Student,No Income,Post Graduate,3,12.9343,77.6044,560029,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Weekend (Sat & Sun),45 minutes,Yes
22,Male,Single,Student,No Income,Post Graduate,3,12.9438,77.5738,560004,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),Strongly agree,Agree,Strongly agree,Neutral,Neutral,Agree,Disagree,Weekend (Sat & Sun),60 minutes,Yes
23,Male,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps,Dinner,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Neutral,Strongly agree,Disagree,Agree,Agree,Neutral,Weekend (Sat & Sun),30 minutes,Yes
24,Female,Single,Student,No Income,Post Graduate,4,12.9783,77.6408,560038,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Anytime (Mon-Sun),45 minutes,Yes
24,Male,Single,Student,No Income,Post Graduate,5,12.9337,77.59,560011,Food delivery apps,Snacks,Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Neutral,Agree,Agree,Strongly disagree,Anytime (Mon-Sun),More than 60 minutes,Yes
25,Male,Single,Student,No Income,Graduate,1,12.977,77.5773,560009,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Anytime (Mon-Sun),45 minutes,Yes
25,Male,Single,Student,No Income,Post Graduate,5,12.977,77.5773,560009,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Strongly agree,Anytime (Mon-Sun),45 minutes,No
28,Male,Married,Self Employeed,10001 to 25000,Graduate,2,13.0289,77.54,560022,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),Disagree,Neutral,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Anytime (Mon-Sun),60 minutes,No
27,Female,Prefer not to say,Employee,25001 to 50000,Post Graduate,5,13.0289,77.54,560022,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Strongly disagree,Agree,Strongly agree,Disagree,Agree,Weekdays (Mon-Fri),45 minutes,No
26,Male,Single,Self Employeed,10001 to 25000,Ph.D,1,12.9698,77.75,560066,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Weekend (Sat & Sun),More than 60 minutes,No
22,Male,Single,Student,No Income,Post Graduate,2,12.977,77.5773,560009,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Weekdays (Mon-Fri),15 minutes,Yes
24,Female,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Anytime (Mon-Sun),30 minutes,Yes
23,Male,Single,Student,No Income,Post Graduate,1,12.9561,77.5921,560027,Walk-in,Lunch,Non Veg foods (Lunch / Dinner),Neutral,Neutral,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Weekend (Sat & Sun),30 minutes,Yes
25,Male,Single,Student,No Income,Graduate,1,12.977,77.5773,560009,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),Agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Anytime (Mon-Sun),45 minutes,Yes
